;values
3475;Demigirl Character
3476;Awkward Tension
3477;Inspired by Music
3478;Outercourse
3479;this is your OTP relaxing
3480;Playlist
3481;a little fluff
3482;Scared myself with that last update and balking at posting more because it will hurt
3483;Historical
3484;Cage Fights
3485;Food Play
3486;Iori Utahime is So Done
3487;Thanks for coming to my TED... er
3488;Yoshino Somei is about done
3489;Incomplete
3490;Ranma Saotome is a jerk
3491;ranma is bad with feelings
3492;Ranma is Genderfluid
3493;Alternate Universe - Dark
3494;Filming
3495;Abusive Relationships
3496;Sharing Clothes
3497;Prostitution
3498;Evil
3499;Ranma and Akane alone
3500;Public domain fanfiction
3501;Misogyny
3502;alternative past
3503;Morally dubious bargaining strategies
3504;Nodoka is also not a great parent
3505;this will be crazy
3506;Shorts
3507;Implied/Referenced Mind Control
3508;Ancient Chinese magic artifacts
3509;but noooope
3510;Pansexual Character
3511;Shinto
3512;sexism (mostly Genma)
3513;Tricksters
3514;Series
3515;Lap Sex
3516;Existential Angst
3517;Psychological Trauma
3518;Anything Goes Competitions
3519;What could go possibly wrong
3520;gender shenanigans
3521;mild violence
3522;Japan
3523;Asia
3524;Fighting
3525;Community: no_true_pair
3526;mention of suicide
3527;iPhone AU
3528;Ranma is flirty
3529;Demon Contract
3530;I wanted Akane in the middle of a Ranma sandwich so this happened
3531;Community: 12daysofxxxmas
3532;Doom
3533;TWT
3534;passive aggressive teenagers
3535;Trans Male Ranma
3536;Graphic Language
3537;Ryoga will always protect Akane
3538;Playboy
3539;Sexual Discovery
3540;Confinement
3541;Silly martial arts duel
3542;Post-Wedding Fiasco
3543;Cultural Differences
3544;#RxAday
3545;As does Ryouga
3546;Alternate Universe - Harem
3547;Lapdance
3548;Secret Identity
3549;Strength
3550;fan fusions
3551;engagements
3552;Brother/Sister Incest
